ID,SMILES,Monoisotopic_Mass,InChI_Key
C00122,*NC(=O)[C@H](CSC(C)C1=C(C)/C2=C/c3c(C(C)SC[C@H](NC(*)=O)C(=O)N*)c(C)c4n3[Fe+]n3/c(c(C)c(CCC(=O)O)/c3=C/C3=N/C(=C\4)C(C)=C3CCC(=O)O)=C\C1=N2)NC(*)=O,,
C00123,*NC(=O)[C@H](CSC(C)C1=C(C)/C2=C/c3c(C(C)SC[C@H](NC(*)=O)C(=O)N*)c(C)c4n3[Fe]n3/c(c(C)c(CCC(=O)O)/c3=C/C3=N/C(=C\4)C(C)=C3CCC(=O)O)=C\C1=N2)NC(*)=O,,
C00124,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,612.151962464,YPZRWBKMTBYPTK-BJDJZHNGSA-N
C00125,CC(=O)N[C@@H]1[C@@H](O)C[C@@](OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,614.147267542,TXCIAUNLDRJGJZ-BILDWYJOSA-N
C00126,C=C(C)CCOP(=O)(O)OP(=O)(O)O,246.00582598399998,NUHSROFQTUXZQQ-UHFFFAOYSA-N
C00127,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,348.04710000599994,GRSZFWQUAKGDAV-KQYNXXCUSA-N
C00128,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,491.00083084199974,SUYVUBYJARFZHO-RRKCRQDMSA-N
C00129,CO,32.026214748,OKKJLVBELUTLKV-UHFFFAOYSA-N
C00130,C[C@@H](N)C(=O)O,89.047678464,QNAYBMKLOCPYGJ-UWTATZPHSA-N
C00131,NCCCCN,88.10004838399999,KIDHWZJUCRJVML-UHFFFAOYSA-N
